1778625935.757615 server started (66537): version 3.6a, socket /tmp/tmux-1001/default, protocol 8
1778625935.757699 on Linux 7.0.5-1-aarch64-ARCH #1 SMP PREEMPT_DYNAMIC Fri May  8 09:46:42 UTC 2026
1778625935.757708 using libevent 2.1.12-stable poll
1778625935.757714 using ncurses 6.5 20240427
1778625935.758388 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1778625935.758394 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1778625935.758400 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1778625935.758406 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1778625935.758412 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1778625935.758418 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1778625935.758424 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1778625935.758430 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1778625935.758436 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1778625935.758442 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1778625935.758448 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1778625935.758454 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1778625935.758460 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1778625935.758466 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1778625935.758472 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1778625935.758478 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1778625935.758484 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1778625935.758490 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1778625935.758496 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1778625935.758502 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1778625935.758508 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1778625935.758514 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1778625935.758520 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1778625935.758527 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1778625935.758533 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1778625935.758539 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1778625935.758545 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1778625935.758551 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1778625935.758558 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1778625935.758564 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1778625935.758570 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1778625935.758576 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1778625935.758582 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1778625935.758588 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1778625935.758595 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1778625935.758601 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1778625935.758618 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1778625935.758625 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1778625935.758631 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1778625935.758638 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1778625935.758644 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1778625935.758650 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1778625935.758656 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1778625935.758662 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1778625935.758668 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1778625935.758675 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1778625935.758681 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1778625935.758687 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1778625935.758693 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1778625935.758699 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1778625935.758705 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1778625935.758712 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1778625935.758718 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1778625935.758724 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1778625935.758730 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1778625935.758736 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1778625935.758742 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1778625935.758748 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1778625935.758754 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1778625935.758760 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1778625935.758766 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1778625935.758772 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1778625935.758778 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1778625935.758784 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1778625935.758791 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1778625935.758797 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1778625935.758803 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1778625935.758809 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1778625935.758816 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1778625935.758822 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1778625935.758828 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1778625935.758834 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1778625935.758840 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1778625935.758847 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1778625935.758853 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1778625935.758859 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1778625935.758865 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1778625935.758882 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1778625935.758897 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1778625935.758904 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1778625935.758910 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1778625935.758916 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1778625935.758922 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1778625935.758929 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1778625935.758935 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1778625935.758941 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1778625935.758947 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1778625935.758953 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1778625935.758959 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1778625935.758966 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1778625935.758984 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1778625935.758995 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1778625935.759002 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1778625935.759008 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1778625935.759014 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1778625935.759020 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1778625935.759026 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1778625935.759032 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1778625935.759038 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1778625935.759044 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1778625935.759051 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1778625935.759057 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1778625935.759063 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1778625935.759069 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1778625935.759075 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1778625935.759081 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1778625935.759087 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1778625935.759093 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1778625935.759099 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1778625935.759105 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1778625935.759112 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1778625935.759118 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1778625935.759124 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1778625935.759130 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1778625935.759136 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1778625935.759143 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1778625935.759149 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1778625935.759155 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1778625935.759161 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1778625935.759167 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1778625935.759173 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1778625935.759179 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1778625935.759186 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1778625935.759192 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1778625935.759198 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1778625935.759204 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1778625935.759210 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1778625935.759217 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1778625935.759223 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1778625935.759229 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1778625935.759235 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1778625935.759242 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1778625935.759248 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1778625935.759254 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1778625935.759261 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1778625935.759267 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1778625935.759273 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1778625935.759353 yylex_token: end at WS
1778625935.759363 yylex_token: bind
1778625935.759370 yylex_token: end at WS
1778625935.759375 yylex_token: -N
1778625935.759382 yylex_token: end at WS
1778625935.759388 yylex_token: Send the prefix key
1778625935.759394 yylex_token: end at WS
1778625935.759398 yylex_token: C-b
1778625935.759405 yylex_token: end at WS
1778625935.759409 yylex_token: send-prefix
1778625935.759419 cmd_parse_build_commands 0:0: bind
1778625935.759436 cmd_parse_build_commands 0:1: -N
1778625935.759443 cmd_parse_build_commands 0:2: Send the prefix key
1778625935.759448 cmd_parse_build_commands 0:3: C-b
1778625935.759455 cmd_parse_build_commands 0:4 0:0: send-prefix
1778625935.759478 cmd_parse_build_commands 0:0: send-prefix
1778625935.759512 args_parse: flags end at 1 of 1
1778625935.759521 cmd_parse_build_commands: send-prefix
1778625935.759528 args_parse_flags: next -N
1778625935.759535 args_parse_flag_argument: -N = Send the prefix key
1778625935.759540 args_parse_flags: next C-b
1778625935.759545 args_parse: flags end at 3 of 5
1778625935.759551 args_parse: 3 = C-b (type STRING)
1778625935.759559 args_parse: 4 = send-prefix (type COMMANDS)
1778625935.759577 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1778625935.759595 cmdq_get_command: [bind-key/0xaaab05219ec0] group 6
1778625935.759602 cmdq_append <global>: [bind-key/0xaaab05219ec0]
1778625935.759609 yylex_token: end at WS
1778625935.759614 yylex_token: bind
1778625935.759620 yylex_token: end at WS
1778625935.759624 yylex_token: -N
1778625935.759632 yylex_token: end at WS
1778625935.759637 yylex_token: Rotate through the panes
1778625935.759642 yylex_token: end at WS
1778625935.759647 yylex_token: C-o
1778625935.759653 yylex_token: end at WS
1778625935.759658 yylex_token: rotate-window
1778625935.759665 cmd_parse_build_commands 0:0: bind
1778625935.759671 cmd_parse_build_commands 0:1: -N
1778625935.759676 cmd_parse_build_commands 0:2: Rotate through the panes
1778625935.759682 cmd_parse_build_commands 0:3: C-o
1778625935.759688 cmd_parse_build_commands 0:4 0:0: rotate-window
1778625935.759696 cmd_parse_build_commands 0:0: rotate-window
1778625935.759707 args_parse: flags end at 1 of 1
1778625935.759714 cmd_parse_build_commands: rotate-window
1778625935.759720 args_parse_flags: next -N
1778625935.759726 args_parse_flag_argument: -N = Rotate through the panes
1778625935.759731 args_parse_flags: next C-o
1778625935.759737 args_parse: flags end at 3 of 5
1778625935.759742 args_parse: 3 = C-o (type STRING)
1778625935.759749 args_parse: 4 = rotate-window (type COMMANDS)
1778625935.759765 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1778625935.759775 cmdq_get_command: [bind-key/0xaaab0521a400] group 14
1778625935.759781 cmdq_append <global>: [bind-key/0xaaab0521a400]
1778625935.759787 yylex_token: end at WS
1778625935.759792 yylex_token: bind
1778625935.759797 yylex_token: end at WS
1778625935.759801 yylex_token: -N
1778625935.759809 yylex_token: end at WS
1778625935.759814 yylex_token: Suspend the current client
1778625935.759819 yylex_token: end at WS
1778625935.759824 yylex_token: C-z
1778625935.759830 yylex_token: end at WS
1778625935.759835 yylex_token: suspend-client
1778625935.759843 cmd_parse_build_commands 0:0: bind
1778625935.759848 cmd_parse_build_commands 0:1: -N
1778625935.759853 cmd_parse_build_commands 0:2: Suspend the current client
1778625935.759858 cmd_parse_build_commands 0:3: C-z
1778625935.759865 cmd_parse_build_commands 0:4 0:0: suspend-client
1778625935.759886 cmd_parse_build_commands 0:0: suspend-client
1778625935.759910 args_parse: flags end at 1 of 1
1778625935.759918 cmd_parse_build_commands: suspend-client
1778625935.759923 args_parse_flags: next -N
1778625935.759930 args_parse_flag_argument: -N = Suspend the current client
1778625935.759935 args_parse_flags: next C-z
1778625935.759940 args_parse: flags end at 3 of 5
1778625935.759945 args_parse: 3 = C-z (type STRING)
1778625935.759952 args_parse: 4 = suspend-client (type COMMANDS)
1778625935.759967 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1778625935.759976 cmdq_get_command: [bind-key/0xaaab0521aa20] group 22
1778625935.759982 cmdq_append <global>: [bind-key/0xaaab0521aa20]
1778625935.759989 yylex_token: end at WS
1778625935.759993 yylex_token: bind
1778625935.759999 yylex_token: end at WS
1778625935.760003 yylex_token: -N
1778625935.760010 yylex_token: end at WS
1778625935.760030 yylex_token: Select next layout
1778625935.760036 yylex_token: end at WS
1778625935.760041 yylex_token: Space
1778625935.760047 yylex_token: end at WS
1778625935.760052 yylex_token: next-layout
1778625935.760060 cmd_parse_build_commands 0:0: bind
1778625935.760065 cmd_parse_build_commands 0:1: -N
1778625935.760071 cmd_parse_build_commands 0:2: Select next layout
1778625935.760076 cmd_parse_build_commands 0:3: Space
1778625935.760082 cmd_parse_build_commands 0:4 0:0: next-layout
1778625935.760094 cmd_parse_build_commands 0:0: next-layout
1778625935.760105 args_parse: flags end at 1 of 1
1778625935.760112 cmd_parse_build_commands: next-layout
1778625935.760118 args_parse_flags: next -N
1778625935.760124 args_parse_flag_argument: -N = Select next layout
1778625935.760129 args_parse_flags: next Space
1778625935.760134 args_parse: flags end at 3 of 5
1778625935.760139 args_parse: 3 = Space (type STRING)
1778625935.760146 args_parse: 4 = next-layout (type COMMANDS)
1778625935.760161 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1778625935.760177 cmdq_get_command: [bind-key/0xaaab0521aeb0] group 30
1778625935.760184 cmdq_append <global>: [bind-key/0xaaab0521aeb0]
1778625935.760190 yylex_token: end at WS
1778625935.760195 yylex_token: bind
1778625935.760200 yylex_token: end at WS
1778625935.760204 yylex_token: -N
1778625935.760211 yylex_token: end at WS
1778625935.760217 yylex_token: Break pane to a new window
1778625935.760222 yylex_token: end at WS
1778625935.760226 yylex_token: !
1778625935.760232 yylex_token: end at WS
1778625935.760237 yylex_token: break-pane
1778625935.760244 cmd_parse_build_commands 0:0: bind
1778625935.760249 cmd_parse_build_commands 0:1: -N
1778625935.760255 cmd_parse_build_commands 0:2: Break pane to a new window
1778625935.760260 cmd_parse_build_commands 0:3: !
1778625935.760266 cmd_parse_build_commands 0:4 0:0: break-pane
1778625935.760274 cmd_parse_build_commands 0:0: break-pane
1778625935.760280 args_parse: flags end at 1 of 1
1778625935.760287 cmd_parse_build_commands: break-pane
1778625935.760293 args_parse_flags: next -N
1778625935.760299 args_parse_flag_argument: -N = Break pane to a new window
1778625935.760304 args_parse_flags: next !
1778625935.760309 args_parse: flags end at 3 of 5
1778625935.760314 args_parse: 3 = ! (type STRING)
1778625935.760320 args_parse: 4 = break-pane (type COMMANDS)
1778625935.760335 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1778625935.760344 cmdq_get_command: [bind-key/0xaaab0521b3a0] group 38
1778625935.760349 cmdq_append <global>: [bind-key/0xaaab0521b3a0]
1778625935.760355 yylex_token: end at WS
1778625935.760360 yylex_token: bind
1778625935.760365 yylex_token: end at WS
1778625935.760369 yylex_token: -N
1778625935.760376 yylex_token: end at WS
1778625935.760381 yylex_token: Split window vertically
1778625935.760387 yylex_token: end at WS
1778625935.760391 yylex_token: "
1778625935.760397 yylex_token: end at WS
1778625935.760402 yylex_token: split-window
1778625935.760409 cmd_parse_build_commands 0:0: bind
1778625935.760414 cmd_parse_build_commands 0:1: -N
1778625935.760420 cmd_parse_build_commands 0:2: Split window vertically
1778625935.760425 cmd_parse_build_commands 0:3: "
1778625935.760430 cmd_parse_build_commands 0:4 0:0: split-window
1778625935.760438 cmd_parse_build_commands 0:0: split-window
1778625935.760450 args_parse: flags end at 1 of 1
1778625935.760457 cmd_parse_build_commands: split-window
1778625935.760462 args_parse_flags: next -N
1778625935.760468 args_parse_flag_argument: -N = Split window vertically
1778625935.760473 args_parse_flags: next "
1778625935.760479 args_parse: flags end at 3 of 5
1778625935.760484 args_parse: 3 = " (type STRING)
1778625935.760491 args_parse: 4 = split-window (type COMMANDS)
1778625935.760505 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1778625935.760513 cmdq_get_command: [bind-key/0xaaab0521b910] group 46
1778625935.760519 cmdq_append <global>: [bind-key/0xaaab0521b910]
1778625935.760537 yylex_token: end at WS
1778625935.760542 yylex_token: bind
1778625935.760548 yylex_token: end at WS
1778625935.760552 yylex_token: -N
1778625935.760559 yylex_token: end at WS
1778625935.760564 yylex_token: List all paste buffers
1778625935.760569 yylex_token: end at WS
1778625935.760574 yylex_token: #
1778625935.760580 yylex_token: end at WS
1778625935.760584 yylex_token: list-buffers
1778625935.760591 cmd_parse_build_commands 0:0: bind
1778625935.760597 cmd_parse_build_commands 0:1: -N
1778625935.760602 cmd_parse_build_commands 0:2: List all paste buffers
1778625935.760607 cmd_parse_build_commands 0:3: #
1778625935.760613 cmd_parse_build_commands 0:4 0:0: list-buffers
1778625935.760621 cmd_parse_build_commands 0:0: list-buffers
1778625935.760630 args_parse: flags end at 1 of 1
1778625935.760636 cmd_parse_build_commands: list-buffers
1778625935.760642 args_parse_flags: next -N
1778625935.760648 args_parse_flag_argument: -N = List all paste buffers
1778625935.760653 args_parse_flags: next #
1778625935.760658 args_parse: flags end at 3 of 5
1778625935.760664 args_parse: 3 = # (type STRING)
1778625935.760670 args_parse: 4 = list-buffers (type COMMANDS)
1778625935.760685 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1778625935.760694 cmdq_get_command: [bind-key/0xaaab0521bd90] group 54
1778625935.760700 cmdq_append <global>: [bind-key/0xaaab0521bd90]
1778625935.760706 yylex_token: end at WS
1778625935.760711 yylex_token: bind
1778625935.760716 yylex_token: end at WS
1778625935.760721 yylex_token: -N
1778625935.760727 yylex_token: end at WS
1778625935.760733 yylex_token: Rename current session
1778625935.760738 yylex_token: end at WS
1778625935.760742 yylex_token: $
1778625935.760749 yylex_token: end at WS
1778625935.760753 yylex_token: command-prompt
1778625935.760759 yylex_token: end at WS
1778625935.760763 yylex_token: -I#S
1778625935.760769 yylex_token: end at WS
1778625935.760774 yylex_token: rename-session
1778625935.760779 yylex_token: end at WS
1778625935.760784 yylex_token: --
1778625935.760789 yylex_token: end at WS
1778625935.760793 yylex_token: %%
1778625935.760801 cmd_parse_build_commands 0:0: bind
